Sales,Price per count,star,comment count
40.0,0.24,0.7000000000000002,65673
3.0,0.86,0.40000000000000036,7668
20.0,0.55,0.5999999999999996,91724
200.0,1.15,0.20000000000000018,31368
40.0,0.24,0.7000000000000002,65673
500.0,1.25,0.20000000000000018,123023
100.0,0.28,0.7000000000000002,167789
100.0,0.49,0.2999999999999998,78285
80.0,0.44,0.2999999999999998,78352
20.0,0.5,0.7000000000000002,28361
10.0,0.34,0.7000000000000002,7867
20.0,0.64,0.20000000000000018,65647
2.0,0.38,0.7999999999999998,5271
100.0,0.36,0.2999999999999998,46484
200.0,0.53,0.20000000000000018,30896
100.0,0.48,0.2999999999999998,45237
100.0,1.25,0.2999999999999998,50567
80.0,0.57,0.20000000000000018,29443
10.0,0.39,0.7000000000000002,10302
20.0,0.75,0.40000000000000036,24681
2.0,0.51,0.7000000000000002,3301
100.0,0.8,0.20000000000000018,65647
10.0,0.28,0.5999999999999996,98426
30.0,0.6,0.5,17146
100.0,0.39,0.5999999999999996,67116
100.0,0.5,0.2999999999999998,55750
30.0,0.3,0.2999999999999998,24723
20.0,0.5,0.7000000000000002,28361
60.0,0.4,0.2999999999999998,16492
50.0,0.44,0.2999999999999998,8569
30.0,0.54,0.2999999999999998,16866
40.0,0.67,0.40000000000000036,74991
100.0,0.98,0.20000000000000018,27016
50.0,0.5,0.2999999999999998,37001
60.0,0.35,0.5999999999999996,51005
4.0,0.29,0.7999999999999998,2706
20.0,0.55,0.5999999999999996,91724
80.0,0.57,0.20000000000000018,29443
90.0,1.3,0.2999999999999998,6339
50.0,0.75,0.2999999999999998,19169
10.0,0.48,0.2999999999999998,45739
50.0,0.49,0.2999999999999998,36382
50.0,0.52,0.40000000000000036,11711
20.0,0.52,0.2999999999999998,47062
20.0,0.3,0.7999999999999998,17824
40.0,0.51,0.2999999999999998,19458
80.0,0.43,0.2999999999999998,19259
40.0,0.44,0.5,13475
30.0,0.7,0.40000000000000036,18978
10.0,0.58,0.5,28936
10.0,0.62,0.5,3780
30.0,0.44,0.40000000000000036,27392
20.0,0.54,0.2999999999999998,17937
6.0,0.34,0.7999999999999998,3387
3.0,0.5,0.40000000000000036,13676
60.0,1.25,0.20000000000000018,6628
40.0,0.4,0.2999999999999998,12130
60.0,0.85,0.20000000000000018,10803
50.0,0.75,0.2999999999999998,19169
5.0,0.61,0.5999999999999996,91724
20.0,0.93,0.40000000000000036,7668
100.0,0.49,0.2999999999999998,78285
10.0,0.38,0.5999999999999996,9546
30.0,1.08,0.2999999999999998,3829
8.0,0.5,0.7000000000000002,8149
10.0,0.28,0.7999999999999998,3639
20.0,0.5,0.7000000000000002,31661
30.0,0.5,0.2999999999999998,6844
2.0,1.0,0.40000000000000036,18978
10.0,0.28,0.5999999999999996,98426
2.0,0.6,0.40000000000000036,251
0.1,0.47,0.5999999999999996,6053
60.0,0.58,0.2999999999999998,16054
20.0,0.44,0.2999999999999998,17498
30.0,0.64,0.20000000000000018,6593
20.0,0.36,0.5999999999999996,23920
100.0,0.8,0.20000000000000018,65647
0.4,0.24,0.5,5037
3.0,0.57,0.20000000000000018,29443
1.0,0.41,0.7000000000000002,5507
7.0,0.36,0.5999999999999996,16434
7.0,0.41,0.40000000000000036,26449
9.0,0.77,0.40000000000000036,12118
40.0,1.37,0.2999999999999998,9743
10.0,0.48,0.7000000000000002,3111
20.0,0.59,0.2999999999999998,12105
20.0,0.73,0.2999999999999998,4608
20.0,0.24,0.5999999999999996,7304
50.0,0.5,0.2999999999999998,15247
20.0,0.93,0.40000000000000036,7668
10.0,0.34,0.7000000000000002,7867
4.0,0.45,0.2999999999999998,3968
8.0,0.42,0.7000000000000002,2896
40.0,0.5,0.20000000000000018,10797
10.0,0.5,0.5999999999999996,4875
0.7,0.23,0.9000000000000004,3606
50.0,0.52,0.5,5755
10.0,0.4,0.5,35284
40.0,0.6,0.5,14332
10.0,0.47,0.2999999999999998,3256
20.0,0.23,0.7999999999999998,16966
1.0,0.49,0.2999999999999998,11372
10.0,0.59,0.40000000000000036,8924
30.0,0.27,0.5,12546
30.0,0.98,0.20000000000000018,11899
10.0,0.5,0.5,2599
10.0,0.67,0.40000000000000036,7063
3.0,0.42,0.5,1313
10.0,0.24,0.5999999999999996,1177
20.0,0.85,0.2999999999999998,10097
4.0,0.62,0.2999999999999998,5099
20.0,1.15,0.20000000000000018,3725
6.0,0.67,0.40000000000000036,6615
6.0,0.63,0.2999999999999998,693
30.0,0.57,0.2999999999999998,9315
2.0,0.28,0.7999999999999998,4972
0.1,0.35,0.5999999999999996,98426
0.001,1.09,1.0,1162
0.1,0.55,0.5999999999999996,91724
0.4,0.95,0.5999999999999996,206
10.0,0.28,0.7999999999999998,680
10.0,0.73,0.7000000000000002,5764
10.0,0.54,0.5999999999999996,2369
0.1,0.41,0.40000000000000036,51
20.0,1.25,0.2999999999999998,4721
10.0,0.4,0.5,2029
2.0,0.73,0.2999999999999998,6844
20.0,0.56,0.2999999999999998,36382
0.7,0.37,0.7000000000000002,5507
0.4,0.38,0.7999999999999998,5271
20.0,0.37,0.7999999999999998,8882
6.0,0.55,0.5999999999999996,6465
30.0,0.82,0.20000000000000018,11196
0.2,0.45,0.2999999999999998,35245
2.0,1.3,0.2999999999999998,5846
0.7,0.8,0.40000000000000036,24681
0.9,0.79,0.7000000000000002,9508
9.0,0.5,0.2999999999999998,6697
20.0,0.8,0.2999999999999998,3425
8.0,0.4,0.40000000000000036,1042
10.0,0.47,0.2999999999999998,7935
0.8,0.27,0.7999999999999998,728
6.0,0.8,0.40000000000000036,24681
20.0,0.7,0.5,43982
10.0,0.49,0.5,26571
1.0,0.83,0.7000000000000002,6556
3.0,1.22,0.20000000000000018,740
20.0,0.46,0.5999999999999996,4634
7.0,0.56,0.7000000000000002,7316
7.0,0.49,0.5999999999999996,11458
10.0,0.37,0.5999999999999996,15596
4.0,0.31,0.7999999999999998,2284
10.0,0.8,0.20000000000000018,3977
10.0,0.3,0.9000000000000004,817
5.0,0.71,0.5,977
4.0,0.31,0.9000000000000004,1159
10.0,0.3,0.9000000000000004,11643
8.0,0.29,0.7999999999999998,16218
9.0,0.77,0.20000000000000018,2242
1.0,0.74,0.20000000000000018,2815
10.0,1.37,0.40000000000000036,2936
20.0,1.2,0.2999999999999998,1851
7.0,0.6,0.2999999999999998,4835
4.0,0.71,0.9000000000000004,1974
6.0,0.96,0.40000000000000036,2121
10.0,0.58,0.5,12114
10.0,0.38,0.7000000000000002,14438
3.0,0.6,0.7000000000000002,1021
9.0,0.85,0.2999999999999998,4055
7.0,0.69,0.5999999999999996,11916
8.0,0.44,0.5999999999999996,98426
5.0,0.36,0.7000000000000002,5507
0.5,0.34,0.7000000000000002,7867
7.0,0.69,0.5999999999999996,11916
10.0,0.8,0.40000000000000036,6303
10.0,0.94,0.7999999999999998,4902
7.0,0.5,0.40000000000000036,6583
10.0,0.52,0.2999999999999998,5831
2.0,0.47,0.5,1919
2.0,0.61,0.5999999999999996,16434
0.001,1.2,0.7000000000000002,195
0.6,0.37,0.7999999999999998,2284
0.5,0.37,1.0,234
7.0,0.48,0.7000000000000002,22033
9.0,0.62,0.9000000000000004,8105
10.0,0.45,0.5999999999999996,9033
0.6,0.38,0.7999999999999998,5271
1.0,0.48,0.5999999999999996,1026
9.0,0.5,0.7000000000000002,31661
60.0,0.64,0.20000000000000018,65647
10.0,0.72,0.2999999999999998,23395
2.0,0.51,0.7000000000000002,3301
3.0,0.58,0.5,2565
2.0,0.71,0.5,2917
3.0,0.31,0.7000000000000002,852
6.0,0.87,0.2999999999999998,1624
0.1,0.47,0.5999999999999996,6053
1.0,0.54,0.7999999999999998,478
4.0,0.6,1.0,1162
20.0,0.45,0.7999999999999998,15006
10.0,0.39,0.7000000000000002,10302
7.0,0.72,0.40000000000000036,19192
8.0,0.52,0.5,4381
3.0,0.94,0.2999999999999998,11265
2.0,0.38,0.7999999999999998,5271
8.0,0.46,0.2999999999999998,3912
7.0,0.93,0.40000000000000036,834
4.0,0.46,0.5,3526
0.3,0.45,1.0,168
4.0,1.35,0.40000000000000036,22814
10.0,0.54,0.40000000000000036,5837
6.0,1.17,0.5,2922
1.0,0.52,0.20000000000000018,113
10.0,0.68,0.2999999999999998,2807
10.0,0.54,0.2999999999999998,4967
2.0,0.7,0.7999999999999998,483
4.0,0.33,0.7000000000000002,8776
2.0,0.75,0.5,2600
0.5,0.9,0.40000000000000036,153
2.0,0.64,0.5999999999999996,8459
1.0,0.43,0.20000000000000018,394
6.0,0.8,0.2999999999999998,441
3.0,0.58,0.5,1892
7.0,0.4,0.5,1093
7.0,0.35,0.7999999999999998,14526
4.0,0.35,0.5999999999999996,98426
1.0,0.8,0.7000000000000002,28361
2.0,0.87,0.5,2600
2.0,0.54,0.2999999999999998,5196
3.0,1.0,0.5999999999999996,10760
3.0,0.92,0.40000000000000036,2615
4.0,0.42,0.5,4279
0.8,0.38,0.20000000000000018,130
0.7,0.64,0.5,2565
3.0,0.35,0.5,35284
4.0,0.31,0.7999999999999998,2284
0.2,0.69,0.2999999999999998,83
5.0,0.68,0.2999999999999998,5019
2.0,0.71,0.40000000000000036,397
6.0,0.45,0.5999999999999996,3690
2.0,0.8,0.2999999999999998,16726
4.0,0.36,0.7000000000000002,14438
50.0,0.52,0.2999999999999998,45739
3.0,0.94,0.2999999999999998,11265
5.0,0.42,0.40000000000000036,26449
5.0,0.48,0.2999999999999998,1621
3.0,0.47,0.7000000000000002,2637
5.0,0.4,0.40000000000000036,694
6.0,0.86,1.0,3273
8.0,1.37,0.5999999999999996,1546
0.9,0.54,0.2999999999999998,93
0.3,0.06,0.40000000000000036,2667
2.0,0.51,0.5999999999999996,747
0.2,0.33,0.5999999999999996,2884
3.0,1.05,0.40000000000000036,4174
7.0,0.54,0.2999999999999998,2434
1.0,0.46,0.5999999999999996,12744
10.0,1.37,0.5999999999999996,1796
1.0,0.51,0.5,197
4.0,0.69,0.2999999999999998,3242
2.0,0.58,0.5,728
0.3,1.12,0.7000000000000002,3723
6.0,0.6,0.2999999999999998,2595
3.0,0.32,0.7999999999999998,350
3.0,0.54,0.7000000000000002,7807
5.0,1.37,0.7000000000000002,1406
0.7,0.37,0.7000000000000002,5507
1.0,0.56,0.40000000000000036,166
1.0,1.11,0.7000000000000002,1358
6.0,0.3,0.7999999999999998,553
1.0,0.83,0.5,4234
7.0,0.53,0.7000000000000002,955
0.5,0.54,0.40000000000000036,2215
4.0,0.27,0.5999999999999996,1876
1.0,0.52,1.1,185
0.4,0.95,0.5999999999999996,206
0.6,0.87,0.2999999999999998,45739
7.0,0.35,0.5999999999999996,98426
5.0,0.59,0.2999999999999998,11265
1.0,0.38,0.7000000000000002,7867
7.0,1.0,0.40000000000000036,858
0.001,1.08,0.7000000000000002,28
10.0,0.55,0.2999999999999998,36382
4.0,0.51,0.40000000000000036,11711
0.5,1.14,0.7000000000000002,82
0.1,0.64,0.5,2144
3.0,0.83,0.5,1285
1.0,0.74,0.5,571
0.7,0.45,0.7000000000000002,5507
3.0,0.42,0.5,35284
0.1,0.7,0.7000000000000002,28361
0.2,0.73,0.2999999999999998,41
20.0,1.15,0.40000000000000036,2586
10.0,1.16,0.40000000000000036,6090
3.0,0.39,1.0,1041
7.0,0.57,0.5,1629
2.0,0.49,0.40000000000000036,793
0.5,0.75,0.40000000000000036,106
4.0,0.27,0.5999999999999996,1876
1.0,0.75,0.2999999999999998,2708
1.0,1.12,0.40000000000000036,1084
5.0,0.8,0.5,11754
6.0,1.25,0.5,1582
2.0,0.98,0.40000000000000036,645
10.0,1.3,0.2999999999999998,7082
30.0,0.6,0.2999999999999998,30126
4.0,1.0,0.40000000000000036,1717
2.0,0.24,0.7999999999999998,645
3.0,0.42,0.5999999999999996,1026
5.0,0.67,0.40000000000000036,2508
3.0,0.23,0.9000000000000004,3994
5.0,0.62,1.0,1894
2.0,0.45,0.7000000000000002,1108
2.0,0.64,0.40000000000000036,563
0.4,1.17,0.5,39
0.1,0.59,0.7000000000000002,2395
1.0,0.56,0.40000000000000036,397
3.0,0.42,0.7000000000000002,5586
10.0,0.87,0.2999999999999998,3515
1.0,0.67,0.5,622
2.0,0.6,0.9000000000000004,911
0.4,0.37,0.7000000000000002,1099
4.0,0.5,0.7000000000000002,5070
8.0,0.75,0.2999999999999998,2484
10.0,0.28,0.5999999999999996,98426
1.0,0.62,0.7000000000000002,4549
1.0,0.38,0.7000000000000002,7867
2.0,0.5,0.09999999999999964,684
3.0,0.42,0.7000000000000002,630
0.2,0.44,0.5,12463
1.0,0.52,0.7000000000000002,3361
0.6,0.9,0.7000000000000002,721
4.0,1.35,0.40000000000000036,2443
1.0,0.6,0.40000000000000036,26449
1.0,0.83,0.7000000000000002,6556
8.0,0.72,0.2999999999999998,3256
5.0,0.85,0.20000000000000018,163
0.7,0.83,0.5999999999999996,1256
3.0,0.65,0.5,2731
5.0,0.59,0.5999999999999996,1452
1.0,0.37,0.7000000000000002,10302
0.9,0.97,0.40000000000000036,24681
4.0,0.34,0.9000000000000004,68947
20.0,0.23,0.7999999999999998,16966
1.0,0.56,0.20000000000000018,707
4.0,0.64,0.20000000000000018,1394
3.0,1.35,0.5,1536
6.0,0.88,0.40000000000000036,1091
2.0,0.28,0.5999999999999996,305
1.0,0.16,0.40000000000000036,434
3.0,0.15,0.5,3029
50.0,0.11,0.5999999999999996,7659
20.0,0.13,0.5,3776
20.0,0.17,0.2999999999999998,20845
4.0,0.09,0.5999999999999996,11103
60.0,0.14,0.40000000000000036,11232
80.0,0.31,0.2999999999999998,16892
0.6,0.22,0.5999999999999996,305
200.0,0.05,0.40000000000000036,34560
1.0,0.21,0.2999999999999998,347
10.0,0.15,0.2999999999999998,2523
20.0,0.25,0.20000000000000018,8518
20.0,0.2,0.40000000000000036,1879
